,ID_USUARIO,ID_ATIVIDADE,DT_RESPOSTA,NU_PORCENTAGEM_ACERTOS
0,187837,60961,2020-04-15T14:27:04.84,1
1,187837,60962,2020-04-15T14:27:06.157,1
2,187837,60963,2020-04-15T14:28:03.36,1
3,187837,60964,2020-04-15T14:28:04.767,1
4,187837,60965,2020-04-15T20:23:07.733,1
5,187837,60967,2020-04-16T21:49:05.29,1
6,187837,60968,2020-04-16T21:51:33.617,1
7,187837,60969,2020-04-22T12:01:12.453,1
8,187837,60971,2020-04-23T11:10:06.723,1
9,187837,60972,2020-04-28T10:27:21.133,1
10,187837,60974,2020-04-30T12:43:33.67,1
11,187837,60975,2020-05-05T12:10:42.31,1
12,187837,60976,2020-05-07T14:58:37.067,1
13,187837,60978,2020-05-12T12:17:00.38,1
14,187837,60980,2020-05-14T10:02:50.08,1
15,187837,60981,2020-05-19T10:20:08.017,1
16,187837,60982,2020-05-21T18:26:07.997,1
17,187837,60984,2020-05-21T18:26:23.827,1
18,187837,60986,2020-05-28T19:53:38.967,1
19,82425,60961,2020-04-15T14:23:39.193,1
20,82425,60962,2020-04-15T14:23:45.757,1
21,82425,60963,2020-04-15T14:23:53.53,1
22,82425,60964,2020-04-15T14:24:08.037,1
23,82425,60965,2020-04-15T14:25:24.877,1
24,82425,60967,2020-04-16T16:37:30.16,1
25,82425,60968,2020-04-16T19:31:03.973,1
26,82425,60969,2020-04-22T15:06:15.57,1
27,82425,60971,2020-04-23T11:28:20.653,1
28,82425,60972,2020-04-28T11:11:13.563,1
29,82425,60974,2020-04-30T11:41:20.44,1
30,82425,60975,2020-05-05T13:13:16.243,1
31,82425,60976,2020-05-07T12:29:24.52,1
32,82425,60978,2020-05-12T13:08:19.843,1
33,82425,60980,2020-05-14T10:53:46.65,1
34,82425,60981,2020-05-20T12:08:10.203,1
35,82425,60982,2020-05-21T10:16:30.803,1
36,82425,60984,2020-05-21T10:20:50.637,1
37,82425,60986,2020-05-29T20:01:13.67,1
38,185551,60961,2020-04-15T14:33:07.927,1
39,185551,60962,2020-04-15T14:33:25.463,1
40,185551,60963,2020-04-15T14:34:56.853,1
41,185551,60964,2020-04-15T14:35:33.64,1
42,185551,60965,2020-04-15T14:36:38.423,1
43,185551,60967,2020-04-17T18:38:16.93,1
44,185551,60968,2020-04-17T18:41:49.187,1
45,185551,60971,2020-04-23T13:47:54.95,1
46,185551,60972,2020-04-28T10:26:01.803,1
47,185551,60974,2020-04-30T12:03:11.233,1
48,185551,60975,2020-05-05T17:29:43.22,1
49,185551,60976,2020-05-07T14:30:01.863,1
50,185551,60978,2020-05-12T10:16:56.153,1
51,185551,60980,2020-05-14T14:33:50.88,1
52,185551,60981,2020-05-19T10:37:57.483,1
53,185551,60982,2020-05-26T12:13:32.8,1
54,160278,60961,2020-04-15T14:30:15.253,1
55,160278,60962,2020-04-15T14:30:32.163,1
56,160278,60963,2020-04-15T14:30:46.45,1
57,160278,60964,2020-04-15T14:31:07.853,1
58,160278,60965,2020-04-15T14:31:56.583,1
59,160278,60967,2020-04-17T10:58:16.487,1
60,160278,60968,2020-04-17T11:00:02.517,1
61,160278,60971,2020-04-23T11:46:02.27,1
62,160278,60972,2020-04-28T10:26:54.163,0
63,160278,60974,2020-04-30T11:55:27.293,1
64,160278,60975,2020-05-05T14:42:16.637,1
65,160278,60976,2020-05-07T14:19:13.42,1
66,160278,60978,2020-05-14T12:07:42.57,1
67,160278,60980,2020-05-14T12:12:36.77,1
68,160278,60981,2020-05-20T11:14:40.337,1
69,160278,60982,2020-05-21T11:40:36.44,1
70,82424,60961,2020-04-16T12:37:21.953,1
71,82424,60962,2020-04-16T12:37:23.883,1
72,82424,60963,2020-04-16T12:37:26.167,1
73,82424,60964,2020-04-16T12:37:27.733,1
74,82424,60965,2020-04-15T14:30:53.32,1
75,82424,60967,2020-04-17T12:33:59.133,1
76,82424,60968,2020-04-17T12:35:05.993,1
77,82424,60971,2020-04-23T12:19:41.13,1
78,82424,60972,2020-04-28T13:26:16.523,1
79,82424,60974,2020-05-04T10:59:36.25,1
80,82424,60975,2020-05-05T10:56:37.95,1
81,82424,60976,2020-05-07T12:11:21.347,1
82,82424,60978,2020-05-12T12:17:01.917,1
83,82424,60980,2020-05-14T11:26:16.917,1
84,82424,60981,2020-05-19T13:33:54.47,1
85,82113,60961,2020-04-15T16:09:10.577,1
86,82113,60962,2020-04-15T16:09:12.837,1
87,82113,60963,2020-04-15T16:09:14.97,1
88,82113,60964,2020-04-14T14:38:13.653,1
89,82113,60965,2020-04-15T16:09:54.653,1
90,82113,60967,2020-04-17T15:40:41.813,1
91,82113,60968,2020-04-17T15:40:03.893,1
92,82113,60971,2020-04-23T11:05:24.69,1
93,82113,60972,2020-05-05T17:02:12.497,1
94,82113,60974,2020-05-05T14:59:59.29,1
95,82113,60975,2020-05-05T15:01:50.3,1
96,82113,60976,2020-05-07T14:56:10.007,1
97,82113,60978,2020-05-14T10:51:59.843,1
98,82113,60980,2020-05-14T14:21:49.237,1
99,82113,60981,2020-05-21T15:06:00.427,1
100,82113,60982,2020-04-14T16:21:35.35,1
101,255480,60961,2020-04-15T19:18:01.273,1
102,255480,60962,2020-04-15T19:18:03.44,1
103,255480,60963,2020-04-15T19:18:04.61,1
104,255480,60964,2020-04-15T19:18:07.13,1
105,255480,60965,2020-04-15T19:15:43.877,0.67
106,255480,60967,2020-04-16T17:36:04.397,1
107,255480,60968,2020-04-20T00:00:00,1
108,255480,60971,2020-04-24T10:08:54.51,1
109,255480,60972,2020-05-05T16:19:23.41,1
110,255480,60974,2020-05-05T15:40:44.163,1
111,255480,60975,2020-05-05T15:52:55.603,1
112,255480,60976,2020-05-12T15:13:48.533,1
113,255480,60982,2020-05-26T13:17:56.47,1
114,255480,60986,2020-06-01T09:08:28.55,1
115,82427,60961,2020-04-22T08:02:51.863,1
116,82427,60962,2020-04-22T08:03:02.067,1
117,82427,60963,2020-04-22T08:03:13.83,1
118,82427,60964,2020-04-22T08:03:36.173,1
119,82427,60965,2020-04-22T08:04:10.937,1
120,82427,60967,2020-04-22T08:04:58.637,1
121,82427,60968,2020-04-22T08:06:03.097,1
122,82427,60969,2020-04-22T08:08:11.453,1
123,82427,60974,2020-05-07T13:25:26.143,1
124,82427,60975,2020-05-07T13:29:25.18,1
125,82427,60976,2020-05-07T15:31:57.39,1
126,82427,60978,2020-05-19T09:16:21.063,1
127,82427,60980,2020-05-19T09:18:42.89,1
128,82427,60981,2020-05-24T15:21:26.333,1
129,82427,60982,2020-05-24T15:21:45.9,1
130,82427,60984,2020-05-24T15:22:08.267,1
131,82427,60986,2020-06-05T11:09:17.9,1
132,179165,60961,2020-04-22T09:34:37.897,1
133,179165,60962,2020-04-22T09:35:00.843,1
134,179165,60963,2020-04-22T09:37:05.86,1
135,179165,60964,2020-04-22T09:37:43.9,1
136,179165,60965,2020-04-22T09:40:31.98,1
137,179165,60967,2020-04-22T09:54:22.867,1
138,179165,60968,2020-04-22T09:58:08.033,1
139,179165,60969,2020-04-22T10:09:15.813,1
140,179165,60972,2020-05-05T16:01:33.27,1
141,179165,60974,2020-05-07T09:48:47.663,1
142,179165,60975,2020-05-10T00:50:45.687,1
143,179165,60976,2020-05-07T17:21:04.63,1
144,179165,60981,2020-05-19T16:25:23.23,1
145,237030,60961,2020-04-22T09:56:08.203,1
146,237030,60962,2020-04-22T09:56:11.89,1
147,237030,60963,2020-04-22T09:56:13.347,1
148,237030,60964,2020-04-22T09:56:14.31,1
149,237030,60965,2020-04-22T09:55:58.19,1
150,237030,60967,2020-04-22T09:57:36.987,1
151,237030,60968,2020-04-22T10:00:58.72,1
152,237030,60969,2020-04-22T10:09:13.917,1
153,237030,60976,2020-05-07T15:31:48.38,1
154,82423,60961,2020-04-15T14:23:21.2,1
155,82423,60962,2020-04-15T14:23:33.177,1
156,82423,60963,2020-04-15T14:27:59.65,1
157,82423,60964,2020-04-15T14:28:00.883,1
158,82423,60965,2020-04-15T14:26:08.487,1
159,82423,60967,2020-04-16T17:40:52.963,1
160,82423,60968,2020-04-16T17:55:30.737,1
161,82423,60971,2020-04-23T10:57:35.68,1
162,82423,60972,2020-04-28T12:21:45.837,1
163,82423,60974,2020-04-30T12:36:14.167,1
164,82423,60975,2020-05-05T09:44:45.547,1
165,82423,60976,2020-05-07T09:49:54.55,1
166,82423,60978,2020-05-12T12:02:47.333,1
167,82423,60980,2020-05-14T09:56:00.17,1
