,ID_USUARIO,ID_ATIVIDADE,NU_PESO
0,187837,60961,1
1,187837,60962,1
2,187837,60963,1
3,187837,60964,1
4,187837,60965,6
5,187837,60967,1
6,187837,60968,1
7,187837,60969,1
8,187837,60971,1
9,187837,60972,1
10,187837,60974,1
11,187837,60975,1
12,187837,60976,1
13,187837,60978,1
14,187837,60980,1
15,187837,60981,1
16,187837,60982,1
17,187837,60984,4
18,187837,60986,1
19,82425,60961,1
20,82425,60962,1
21,82425,60963,1
22,82425,60964,1
23,82425,60965,6
24,82425,60967,1
25,82425,60968,1
26,82425,60969,1
27,82425,60971,1
28,82425,60972,1
29,82425,60974,1
30,82425,60975,1
31,82425,60976,1
32,82425,60978,1
33,82425,60980,1
34,82425,60981,1
35,82425,60982,1
36,82425,60984,4
37,82425,60986,1
38,185551,60961,1
39,185551,60962,1
40,185551,60963,1
41,185551,60964,1
42,185551,60965,6
43,185551,60967,1
44,185551,60968,1
45,185551,60971,1
46,185551,60972,1
47,185551,60974,1
48,185551,60975,1
49,185551,60976,1
50,185551,60978,1
51,185551,60980,1
52,185551,60981,1
53,185551,60982,1
54,185551,60984,4
55,185551,60986,1
56,160278,60961,1
57,160278,60962,1
58,160278,60963,1
59,160278,60964,1
60,160278,60965,6
61,160278,60967,1
62,160278,60968,1
63,160278,60969,1
64,160278,60971,1
65,160278,60972,1
66,160278,60974,1
67,160278,60975,1
68,160278,60976,1
69,160278,60978,1
70,160278,60980,1
71,160278,60981,1
72,160278,60982,1
73,160278,60984,4
74,82424,60961,1
75,82424,60962,1
76,82424,60963,1
77,82424,60964,1
78,82424,60965,6
79,82424,60967,1
80,82424,60968,1
81,82424,60971,1
82,82424,60972,1
83,82424,60974,1
84,82424,60975,1
85,82424,60976,1
86,82424,60978,1
87,82424,60980,1
88,82424,60981,1
89,82424,60982,1
90,82424,60984,4
91,82113,60961,1
92,82113,60962,1
93,82113,60963,1
94,82113,60964,1
95,82113,60965,6
96,82113,60967,1
97,82113,60968,1
98,82113,60969,1
99,82113,60971,1
100,82113,60972,1
101,82113,60974,1
102,82113,60975,1
103,82113,60976,1
104,82113,60978,1
105,82113,60980,1
106,82113,60981,1
107,82113,60982,1
108,82113,60984,4
109,82113,60986,1
110,255480,60961,1
111,255480,60962,1
112,255480,60963,1
113,255480,60964,1
114,255480,60965,6
115,255480,60967,1
116,255480,60968,1
117,255480,60969,1
118,255480,60971,1
119,255480,60972,1
120,255480,60974,1
121,255480,60975,1
122,255480,60976,1
123,255480,60978,1
124,255480,60980,1
125,255480,60982,1
126,255480,60984,4
127,255480,60986,1
128,82427,60961,1
129,82427,60962,1
130,82427,60963,1
131,82427,60964,1
132,82427,60965,6
133,82427,60967,1
134,82427,60968,1
135,82427,60969,1
136,82427,60971,1
137,82427,60974,1
138,82427,60975,1
139,82427,60976,1
140,82427,60978,1
141,82427,60980,1
142,82427,60981,1
143,82427,60982,1
144,82427,60984,4
145,82427,60986,1
146,179165,60961,1
147,179165,60962,1
148,179165,60963,1
149,179165,60964,1
150,179165,60965,6
151,179165,60967,1
152,179165,60968,1
153,179165,60969,1
154,179165,60971,1
155,179165,60972,1
156,179165,60974,1
157,179165,60975,1
158,179165,60976,1
159,179165,60978,1
160,179165,60980,1
161,179165,60981,1
162,237030,60961,1
163,237030,60962,1
164,237030,60963,1
165,237030,60964,1
166,237030,60965,6
167,237030,60967,1
168,237030,60968,1
169,237030,60969,1
170,237030,60971,1
171,237030,60972,1
172,237030,60974,1
173,237030,60976,1
174,82423,60961,1
175,82423,60962,1
176,82423,60963,1
177,82423,60964,1
178,82423,60965,6
179,82423,60967,1
180,82423,60968,1
181,82423,60969,1
182,82423,60971,1
183,82423,60972,1
184,82423,60974,1
185,82423,60975,1
186,82423,60976,1
187,82423,60978,1
188,82423,60980,1
189,82423,60981,1
190,82423,60982,1
191,82423,60984,4
192,82423,60986,1
193,146268,60961,1
194,146268,60962,1
195,146268,60963,1
196,146268,60964,1
197,146268,60965,6
198,146268,60967,1
199,146268,60968,1
200,146268,60969,1
201,146268,60971,1
202,146268,60972,1
203,146268,60974,1
204,146268,60975,1
205,146268,60976,1
206,146268,60978,1
207,146268,60980,1
208,146268,60981,1
209,146268,60982,1
210,146268,60984,4
211,146268,60986,1
212,82421,60961,1
213,82421,60962,1
214,82421,60963,1
215,82421,60964,1
216,82421,60965,6
217,82421,60967,1
218,82421,60968,1
219,82421,60969,1
220,82421,60971,1
221,82421,60972,1
222,82421,60974,1
223,82421,60975,1
224,82421,60976,1
225,82421,60978,1
226,82421,60980,1
227,82421,60981,1
228,82421,60982,1
229,82421,60984,4
230,82421,60986,1
231,237248,60974,1
232,237248,60975,1
233,237248,60976,1
234,237248,60978,1
235,237248,60981,1
236,237248,60982,1
237,237248,60984,4
238,257845,60974,1
239,257845,60976,1
240,257845,60978,1
241,82426,60961,1
242,82426,60962,1
243,82426,60963,1
244,82426,60964,1
245,82426,60965,6
246,82426,60967,1
247,82426,60968,1
248,82426,60969,1
249,82426,60971,1
250,82426,60972,1
251,82426,60974,1
252,82426,60975,1
253,82426,60976,1
254,82426,60978,1
255,255481,60961,1
256,255481,60962,1
257,255481,60963,1
258,255481,60964,1
259,255481,60965,6
260,255481,60967,1
261,255481,60968,1
262,255481,60969,1
263,255481,60971,1
264,255481,60972,1
265,255481,60974,1
266,255481,60975,1
267,255481,60976,1
268,255481,60981,1
269,255481,60982,1
270,255481,60984,4
