,roundId,name,status,roundscorebonus,lastattemptstatus,approved,waiting,answerdate,showstars,showscore,stars
0,52472,O que é cultura e engajamento de equipe?,done,100,aprovado,1,false,15/04/2020,true,true,3
1,52473,O que você mais gosta no seu trabalho?,done,100,aprovado,1,false,16/04/2020,true,true,3
2,52474,O que vocês acham da Visão e Missão da Empresa?,done,100,aprovado,1,false,22/04/2020,true,true,3
3,52475,Redes Sociais,done,100,aprovado,1,false,23/04/2020,true,true,3
4,52476,Vídeo Conferência,done,100,aprovado,1,false,28/04/2020,true,true,3
5,52477,Líder Inspirador,done,100,aprovado,1,false,30/04/2020,true,true,3
6,52478,Dia da camiseta de futebol,done,100,aprovado,1,false,05/05/2020,true,true,3
7,52479,Feedback,done,100,aprovado,1,false,07/05/2020,true,true,3
8,52480,Aplicação de um jogo,done,100,aprovado,1,false,12/05/2020,true,true,3
9,52481,Dia da Fantasia,done,100,aprovado,1,false,14/05/2020,true,true,3
10,52482,Vamos tomar um café?,done,100,aprovado,1,false,19/05/2020,true,true,3
11,52483,Laboral,done,100,aprovado,1,false,21/05/2020,true,true,3
12,52484,Dia do Super-Herói,done,100,aprovado,1,false,28/05/2020,true,true,3
13,52472,O que é cultura e engajamento de equipe?,done,100,aprovado,1,false,15/04/2020,true,true,3
14,52473,O que você mais gosta no seu trabalho?,done,100,aprovado,1,false,16/04/2020,true,true,3
15,52474,O que vocês acham da Visão e Missão da Empresa?,done,100,aprovado,1,false,22/04/2020,true,true,3
16,52475,Redes Sociais,done,100,aprovado,1,false,23/04/2020,true,true,3
17,52476,Vídeo Conferência,done,100,aprovado,1,false,28/04/2020,true,true,3
18,52477,Líder Inspirador,done,100,aprovado,1,false,30/04/2020,true,true,3
19,52478,Dia da camiseta de futebol,done,100,aprovado,1,false,05/05/2020,true,true,3
20,52479,Feedback,done,100,aprovado,1,false,07/05/2020,true,true,3
21,52480,Aplicação de um jogo,done,100,aprovado,1,false,12/05/2020,true,true,3
22,52481,Dia da Fantasia,done,100,aprovado,1,false,14/05/2020,true,true,3
23,52482,Vamos tomar um café?,done,100,aprovado,1,false,20/05/2020,true,true,3
24,52483,Laboral,done,100,aprovado,1,false,21/05/2020,true,true,3
25,52484,Dia do Super-Herói,done,100,aprovado,1,false,29/05/2020,true,true,3
26,52472,O que é cultura e engajamento de equipe?,done,100,aprovado,1,false,15/04/2020,true,true,3
27,52473,O que você mais gosta no seu trabalho?,done,100,aprovado,1,false,17/04/2020,true,true,3
28,52474,O que vocês acham da Visão e Missão da Empresa?,current,0,,0,false,,true,false,0
29,52475,Redes Sociais,done,100,aprovado,1,false,23/04/2020,true,true,3
30,52476,Vídeo Conferência,done,100,aprovado,1,false,28/04/2020,true,true,3
31,52477,Líder Inspirador,done,100,aprovado,1,false,30/04/2020,true,true,3
32,52478,Dia da camiseta de futebol,done,100,aprovado,1,false,05/05/2020,true,true,3
33,52479,Feedback,done,100,aprovado,1,false,07/05/2020,true,true,3
34,52480,Aplicação de um jogo,done,100,aprovado,1,false,12/05/2020,true,true,3
35,52481,Dia da Fantasia,done,100,aprovado,1,false,14/05/2020,true,true,3
36,52482,Vamos tomar um café?,done,100,aprovado,1,false,19/05/2020,true,true,3
37,52483,Laboral,current,0,em_andamento,0,false,,true,false,0
38,52484,Dia do Super-Herói,current,0,nao_iniciado,0,false,,true,false,0
39,52472,O que é cultura e engajamento de equipe?,done,100,aprovado,1,false,15/04/2020,true,true,3
40,52473,O que você mais gosta no seu trabalho?,done,100,aprovado,1,false,17/04/2020,true,true,3
41,52474,O que vocês acham da Visão e Missão da Empresa?,current,0,nao_iniciado,0,false,,true,false,0
42,52475,Redes Sociais,done,100,aprovado,1,false,23/04/2020,true,true,3
43,52476,Vídeo Conferência,done,100,aprovado,1,false,28/04/2020,true,true,3
44,52477,Líder Inspirador,done,100,aprovado,1,false,30/04/2020,true,true,3
45,52478,Dia da camiseta de futebol,done,100,aprovado,1,false,05/05/2020,true,true,3
46,52479,Feedback,done,100,aprovado,1,false,07/05/2020,true,true,3
47,52480,Aplicação de um jogo,done,100,aprovado,1,false,14/05/2020,true,true,3
48,52481,Dia da Fantasia,done,100,aprovado,1,false,14/05/2020,true,true,3
49,52482,Vamos tomar um café?,done,100,aprovado,1,false,20/05/2020,true,true,3
50,52483,Laboral,current,0,em_andamento,0,false,,true,false,0
51,52484,Dia do Super-Herói,current,0,,0,false,,true,false,0
52,52472,O que é cultura e engajamento de equipe?,done,100,aprovado,1,false,16/04/2020,true,true,3
53,52473,O que você mais gosta no seu trabalho?,done,100,aprovado,1,false,17/04/2020,true,true,3
54,52474,O que vocês acham da Visão e Missão da Empresa?,current,0,,0,false,,true,false,0
55,52475,Redes Sociais,done,100,aprovado,1,false,23/04/2020,true,true,3
56,52476,Vídeo Conferência,done,100,aprovado,1,false,28/04/2020,true,true,3
57,52477,Líder Inspirador,done,100,aprovado,1,false,04/05/2020,true,true,3
58,52478,Dia da camiseta de futebol,done,100,aprovado,1,false,05/05/2020,true,true,3
59,52479,Feedback,done,100,aprovado,1,false,07/05/2020,true,true,3
60,52480,Aplicação de um jogo,done,100,aprovado,1,false,12/05/2020,true,true,3
61,52481,Dia da Fantasia,done,100,aprovado,1,false,14/05/2020,true,true,3
62,52482,Vamos tomar um café?,done,100,aprovado,1,false,19/05/2020,true,true,3
63,52483,Laboral,current,0,nao_iniciado,0,false,,true,false,0
64,52484,Dia do Super-Herói,current,0,,0,false,,true,false,0
65,52472,O que é cultura e engajamento de equipe?,done,100,aprovado,1,false,15/04/2020,true,true,3
66,52473,O que você mais gosta no seu trabalho?,done,100,aprovado,1,false,17/04/2020,true,true,3
67,52474,O que vocês acham da Visão e Missão da Empresa?,current,0,nao_iniciado,0,false,,true,false,0
68,52475,Redes Sociais,done,100,aprovado,1,false,23/04/2020,true,true,3
69,52476,Vídeo Conferência,done,100,aprovado,1,false,05/05/2020,true,true,3
